カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
店舗販売業,21928-350,ドラッグユタカ　栗東安養寺店,520-3015,栗東市安養寺三丁目１－３９,株式会社ユタカファーマシー,,2025-01-01,2030-12-31
店舗販売業,21958-350,タムラ薬販,520-2341,野洲市行畑２６４－１,,,2025-01-01,2030-12-31
店舗販売業,21963-350,クスリのアオキ　霊仙寺店,520-3035,栗東市霊仙寺一丁目４－６,株式会社クスリのアオキ,,2026-01-01,2031-12-31
店舗販売業,21964-350,クスリのアオキ　目川店,520-3013,栗東市目川１４３３,株式会社クスリのアオキ,,2026-01-01,2031-12-31
店舗販売業,21985-350,ウエルシア野洲小篠原店,520-2331,野洲市小篠原１６１１－１,ウエルシア薬局株式会社,,2026-01-01,2031-12-31
店舗販売業,21991-350,ウエルシア滋賀守山店,524-0022,守山市守山六丁目１０－３７,ウエルシア薬局株式会社,,2026-01-01,2031-12-31
店舗販売業,21994-350,ウエルシア栗東手原店,520-3047,栗東市手原一丁目９－１７,ウエルシア薬局株式会社,,2026-01-01,2031-12-31
店舗販売業,22010-350,クスリキリン堂　草津図書館前店,525-0036,草津市草津町１５４２,株式会社キリン堂,,2026-01-01,2031-12-31
店舗販売業,22055-350,ツルハドラッグ栗東安養寺店,520-3015,栗東市安養寺八丁目２－２２,株式会社ツルハ,,2021-01-01,2026-12-31
店舗販売業,22097-350,ドラッグユタカ栗東小柿店,520-3024,栗東市小柿六丁目４－２８,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,22108-350,薬マツモトキヨシ　ピエリ守山店,524-0101,守山市今浜町２６２０－５　ピエリ守山１階,株式会社マツモトキヨシ,,2021-01-01,2026-12-31
店舗販売業,22118-350,ドラッグユタカ野洲店,520-2352,野洲市冨波乙８２８,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,22140-350,スギドラッグ　草津店,525-0036,草津市草津町１５２０－１,株式会社スギ薬局,,2022-01-01,2027-12-31
店舗販売業,22162-350,クスリのアオキ　川田店,524-0001,守山市川田町７５７－１,株式会社クスリのアオキ,,2022-01-01,2027-12-31
店舗販売業,22165-350,Ｖ・ｄｒｕｇ　霊仙寺店,520-3035,栗東市霊仙寺五丁目３－２０,中部薬品株式会社,,2022-01-01,2027-12-31
店舗販売業,22212-350,ドラッグコスモスへそ店,520-3031,栗東市綣四丁目２－２１,株式会社コスモス薬品,,2023-01-01,2028-12-31
店舗販売業,22240-350,ドラッグユタカ守山播磨田店,524-0012,守山市播磨田町６６３－１,株式会社ユタカファーマシー,,2024-01-01,2029-12-31
店舗販売業,22262-350,スギドラッグ　守山東店,524-0041,守山市勝部五丁目７－１８,株式会社スギ薬局,,2024-01-01,2029-12-31
店舗販売業,22273-350,スギドラッグ　栗東ひがし店,520-3041,栗東市出庭５２３－１,株式会社スギ薬局,,2025-01-01,2030-12-31
店舗販売業,22283-350,スギドラッグ　草津大路店,525-0032,草津市大路三丁目５－８,株式会社スギ薬局,,2025-01-01,2030-12-31
店舗販売業,22317-350,ウエルシア草津野路店,525-0059,草津市野路四丁目４－１,ウエルシア薬局株式会社,,2026-01-01,2031-12-31
店舗販売業,22318-350,ドラッグユタカ　栗東野尻店,520-3027,栗東市野尻５８０,株式会社ユタカファーマシー,,2026-01-01,2031-12-31
店舗販売業,22356-350,スギドラッグ　野洲店,520-2331,野洲市小篠原１９８０－５,株式会社スギ薬局,,2026-01-01,2031-12-31
店舗販売業,22357-350,クスリのアオキ野洲店,520-2331,野洲市小篠原１２６９－２,株式会社クスリのアオキ,,2026-01-01,2031-12-31
店舗販売業,22363-350,ドラッグユタカ草津追分南店,525-0048,草津市追分南二丁目１１－１１,株式会社ユタカファーマシー,,2026-01-01,2031-12-31
店舗販売業,22376-350,スギドラッグ　エイスクエア店,525-0025,草津市西渋川一丁目２３－３　エイスクエアＳＡＲＡ東館１階,株式会社スギ薬局,,2021-01-25,2026-12-31
店舗販売業,22435-350,ローソンＳ栗東大橋店,520-3046,栗東市大橋七丁目２－２２,株式会社ＦＲＬ,,2021-10-12,2026-12-31
店舗販売業,22438-350,ウエルシア野洲市三宅店,520-2362,野洲市市三宅２３７５,ウエルシア薬局株式会社,,2021-11-15,2026-12-31
