施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
住茂登,526-0054,長浜市大宮町１０－１,株式会社住茂登,706829103,R05/02/17,R05/02/17,※食肉販売業,鳥肉販売,,R11/02/28,,,,
住茂登,526-0054,長浜市大宮町１０－１,株式会社住茂登,706829111,R05/03/01,R05/03/01,※菓子製造業,菓子製造,,R11/02/28,,,,
ローソン　長浜加田店,526-0828,長浜市加田町４６８－１,有限会社オーク,706831101,R05/07/01,R05/07/01,※飲食店営業,そうざい屋,,R11/06/30,,,,
ローソン　長浜下坂中町店,526-0044,長浜市下坂中町２９０－３,有限会社オーク,706832101,R06/03/01,R06/03/01,※飲食店営業,そうざい屋,,R13/02/28,,,,
カフェ　オレンジファクトリー,529-0537,長浜市余呉町新堂３３５,株式会社オレンジファクトリー,706837101,R05/11/01,R05/11/01,※飲食店営業,一般食堂,,R11/10/31,,,,
カフェ　オレンジファクトリー,529-0537,長浜市余呉町新堂３３５,株式会社オレンジファクトリー,706837125,R05/09/14,R05/09/14,※そうざい製造業,そうざい製造,弁当製造,R11/10/31,,,,
いっぷく食堂,526-0014,長浜市口分田町２２８－５　サンラッキー長浜店内,日方商事株式会社,706850101,R04/07/01,R04/07/01,※飲食店営業,一般食堂,弁当屋,R10/06/30,,,,
もっちのパンやさん　滋賀１３０と８０８,,滋賀県一円(大津市の区域を除く),,706851101,R04/03/01,R04/03/01,※飲食店営業,,,R09/02/28,自動車による営業に限る,,,
スナック　Ｙｏｕ,526-0037,長浜市高田町２－１２　ギャザショップ皆美１Ｆ　Ｙｏｕ,,706855101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
和食・すし処　番野,521-0016,米原市下多良１－５７,株式会社番野,706860101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,"仕出し屋,弁当屋",R10/10/31,,,,
和食・すし処　番野,521-0016,米原市下多良１－５７,株式会社番野,706860125,R03/08/31,R03/08/31,※そうざい製造業,そうざい製造,"弁当製造,そう漬物",R09/10/31,,,,
賤ヶ岳サービスエリア（下り線）,529-0522,長浜市余呉町坂口２６７－１　館内南入口手前,近江鉄道株式会社,706861101,R03/11/01,R03/11/01,※飲食店営業,そうざい屋,,R09/10/31,,,,
株式会社浜きゅう,526-0031,長浜市八幡東町１１２,株式会社浜きゅう,706867101,R05/03/01,R05/03/01,※飲食店営業,弁当屋,仕出し屋,R11/02/28,,,,
株式会社浜きゅう,526-0031,長浜市八幡東町１１２,株式会社浜きゅう,706867125,R06/04/18,R06/04/18,※そうざい製造業,弁当製造,,R13/02/28,,,,
うまもん酒場しろやま,526-0056,長浜市朝日町２－１０,株式会社陣,706868101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
滋賀県立長浜養護学校高等部伊吹分教室,521-0226,米原市朝日３０２　伊吹高校内,滋賀県立長浜養護学校,706870111,R04/11/01,R04/11/01,※菓子製造業,菓子製造,,R10/10/31,,,,
マザーズ　キッチン（Ｍ・Ｋ）,526-0803,長浜市西上坂町６０４,,706871111,R05/07/01,R05/07/01,※菓子製造業,菓子製造,,R11/06/30,,,,
Drag?e ドラジェ,526-0021,長浜市八幡中山町１１９４－２,株式会社キャリア・トゥエンティー・ワン,706872101,R06/07/01,R06/07/01,※飲食店営業,一般食堂,,R13/06/30,,,,
Drag?e ドラジェ,526-0021,長浜市八幡中山町１１９４－２,株式会社キャリア・トゥエンティー・ワン,706872111,R06/07/01,R06/07/01,※菓子製造業,菓子製造,,R13/06/30,,,,
Ｐｅｔｉｔ　Ｒｅｓｔａｕｒａｎｔ　Ｋａｎａｍｏｒｉ,526-0033,長浜市平方町２３８　ワイエフビル２３　１Ｆ,,706875101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,そうざい,R11/02/28,そう菜は店頭販売に限る,,,
Ｋ．Ｇ．Ｓ． ＫＡＮ　ＧＡＲＡＧＥ　ＳＥＲＶＩＣＥ,529-0341,長浜市湖北町速水２８６３－１,,706877101,R05/07/01,R05/07/01,※飲食店営業,簡易な営業,,R11/06/30,簡易な営業に限る,,,
ないない,526-0032,長浜市南高田町１－４２,,706883101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
Ｂｉｓｔｒｏ　Ｋｉｔｃｈｅｎ　Ｃｒｏｓｓ,526-0037,長浜市高田町７－１１,,706885101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,仕出し屋,R11/02/28,,,,
Ｏｈａｎａ,529-0144,長浜市大寺町１０２９－１(ＪＲ虎姫駅構内),社会福祉法人滋賀県障害児協会,706887101,R05/07/01,R05/07/01,※飲食店営業,一般食堂,,R11/06/30,,,,
Ｏｈａｎａ,529-0144,長浜市大寺町１０２９－１(ＪＲ虎姫駅構内),社会福祉法人滋賀県障害児協会,706887111,R06/07/01,R06/07/01,※菓子製造業,菓子製造,,R12/06/30,,,,
なごみ,526-0012,長浜市新庄中町１７０　助産院「ままの手」内,,706891101,R05/07/01,R05/07/01,※飲食店営業,一般食堂,,R11/06/30,,,,
なごみ,526-0012,長浜市新庄中町１７０　助産院「ままの手」内,,706891111,R06/12/24,R06/12/24,※菓子製造業,菓子製造,,R11/06/30,,,,
なごみ,526-0012,長浜市新庄中町１７０　助産院「ままの手」内,,706891120,R07/04/07,R07/04/07,※みそ又はしょうゆ製造業,みそ製造,,R13/06/30,,,,
笑ちゃんたこやき,526-0037,長浜市高田町１５－２２,,706895101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,そうざい,R11/02/28,,,,
こぢんまり,521-0314,米原市春照８７４－１,,706896101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,弁当屋,R10/10/31,,,,
ＤＥＴＯＸ　ＣＡＦＥ　ＮＡＧＡＨＡＭＡ,526-0031,長浜市八幡東町７８－２,一般社団法人なないろ,706897111,R06/01/30,R06/01/30,※菓子製造業,菓子製造,,R13/02/28,,,,
セブン‐イレブン　長浜祗園町店,526-0061,長浜市祇園町１３８－１１,,706899101,R06/07/01,R06/07/01,※飲食店営業,そうざい屋,,R13/06/30,,,,
ＢＡＲ　田畑,526-0056,長浜市朝日町９－５　桜小路１０４,,706902101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
ラウンジ　マンダラ,526-0056,長浜市朝日町１７－２３,,706903101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R10/02/29,簡易な営業に限る,,,
カフェ　ドロップハウス,521-0016,米原市下多良二丁目１３７　滋賀県立文化産業交流会館１Ｆ,,706904101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,そうざい,R10/10/31,,,,
セブン‐イレブン　木之本インター口店,529-0426,長浜市木之本町黒田１０８５－２,,706905101,R05/07/01,R05/07/01,※飲食店営業,そうざい屋,,R11/06/30,,,,
筑摩赤丸生産グループ,521-0001,米原市朝妻筑摩５１２－２,,706906101,R04/11/01,R04/11/01,※飲食店営業,弁当屋,仕出し屋,R10/10/31,,,,
筑摩赤丸生産グループ,521-0001,米原市朝妻筑摩５１２－２,,706906129,R06/05/27,R06/05/27,※漬物製造業,漬物（浅漬け除く。）製造,浅漬製造,R12/10/31,,,,
スナック　リノン,526-0037,長浜市高田町３－１７　ＨＩＤＥ＆ＳＥＥＫ,,706914101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
ローソン　西浅井塩津浜店,529-0701,長浜市西浅井町塩津浜１７８３,,706915101,R06/11/01,R06/11/01,※飲食店営業,そうざい屋,,R13/10/31,,,,
株式会社平和堂 アル・プラザ長浜 青果加工場,526-0845,長浜市小堀町４５０,株式会社平和堂,706920101,R07/01/29,R07/01/29,※飲食店営業,弁当屋,,R12/06/30,,,,
株式会社平和堂 アル・プラザ長浜 青果加工場,526-0845,長浜市小堀町４５０,株式会社平和堂,706920111,R06/07/01,R06/07/01,※菓子製造業,菓子製造,,R12/06/30,,,,
(株)平和堂　フレンドマート長浜平方店　デリカ,526-0033,長浜市平方町３３１,株式会社平和堂,706921101,R06/03/01,R06/03/01,※飲食店営業,そうざい屋,弁当屋,R13/02/28,,,,
(株)平和堂　フレンドマート長浜平方店　デリカ,526-0033,長浜市平方町３３１,株式会社平和堂,706921111,R06/03/01,R06/03/01,※菓子製造業,菓子製造,"パン製造,調理パン",R13/02/28,,,,
(株)平和堂　フレンドマート長浜平方店　デリカ,526-0033,長浜市平方町３３１,株式会社平和堂,706921125,R06/03/01,R06/03/01,※そうざい製造業,弁当製造,そう製造,R13/02/28,,,,
(株)平和堂　フレンドマート長浜平方店　鮮魚,526-0033,長浜市平方町３３１,株式会社平和堂,706922104,R06/03/01,R06/03/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R13/02/28,,,,
(株)平和堂　フレンドマート長浜平方店　精肉,526-0033,長浜市平方町３３１,株式会社平和堂,706924103,R06/03/01,R06/03/01,※食肉販売業,獣肉販売,鳥肉販売,R13/02/28,とさつ・解体をしないこと,,,
