施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
２１時にアイス　滋賀草津店,525-0028,草津市上笠二丁目１２－１,株式会社ツバキ,215237101,R04/08/19,R04/08/19,※飲食店営業,一般食堂,,R11/02/28,,,,
株式会社瑛心,525-0066,草津市矢橋町２２１,株式会社瑛心,215238101,R04/09/08,R04/09/08,※飲食店営業,弁当屋,そうざい,R11/02/28,,,,
株式会社瑛心,525-0066,草津市矢橋町２２１,株式会社瑛心,215238104,R04/09/08,R04/09/08,※魚介類販売業,鮮魚介類の処理,生食魚処,R11/02/28,,,,
美佳味　堺８３０そ３１２,,滋賀県一円（大津市の区域を除く）,有限会社美佳味,215240101,R04/08/23,R04/08/23,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
焼きたてパンの店アンジュ,520-3031,栗東市綣二丁目３－２２　アルプラザ栗東店内,,215241111,R04/09/02,R04/09/02,※菓子製造業,パン製造,調理パン,R11/10/31,,,,
ローソン　栗東十里店,520-3036,栗東市十里６６－４,株式会社Ｒ．Ａ．Ｋ,215242101,R04/08/31,R04/08/31,※飲食店営業,そうざい屋,弁当屋,R11/10/31,,,,
Ｍｉｘｂａｒ　Ｄ－ｄｒａｎｋ,520-3015,栗東市安養寺二丁目３－１　１ＦＢ,,215244101,R04/08/29,R04/08/29,※飲食店営業,簡易な営業,,R10/10/31,簡易な営業に限る,,,
ブルースカイ,524-0021,守山市吉身五丁目１－１２,,215245101,R04/08/29,R04/08/29,※飲食店営業,簡易な営業,,R10/10/31,簡易な営業に限る,,,
たなぼた,525-0059,草津市野路七丁目１９－６,株式会社ＳＡＣＨＩフードクローバリング,215246101,R04/08/26,R04/08/26,※飲食店営業,一般食堂,弁当屋,R12/02/28,,,,
たなぼた,525-0059,草津市野路七丁目１９－６,株式会社ＳＡＣＨＩフードクローバリング,215246103,R04/08/26,R04/08/26,※食肉販売業,獣肉販売,鳥肉販売,R12/02/28,とさつ・解体をしないこと,,,
たなぼた,525-0059,草津市野路七丁目１９－６,株式会社ＳＡＣＨＩフードクローバリング,215246125,R04/08/26,R04/08/26,※そうざい製造業,そうざい製造,,R12/02/28,,,,
よろこび屋食品,525-0067,草津市新浜町１８－３,株式会社ＳＡＣＨＩフードクローバリング,215247101,R04/08/26,R04/08/26,※飲食店営業,そうざい屋,弁当屋,R11/02/28,,,,
よろこび屋食品,525-0067,草津市新浜町１８－３,株式会社ＳＡＣＨＩフードクローバリング,215247125,R04/08/26,R04/08/26,※そうざい製造業,そうざい製造,,R11/02/28,,,,
京都ぽーく亭　京都８００せ７３５４,,滋賀県一円（大津市の区域を除く。）,株式会社ネオ・ライズＰＲＯ,215248101,R04/08/26,R04/08/26,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ＣａｆｅＯｎｃｅ　滋賀４８３た８６８６,,滋賀県一円（大津市の区域を除く。）,,215249101,R04/08/29,R04/08/29,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
イザカヤ　クジラ,525-0032,草津市大路一丁目９－１　クロスアベニュー草津 Ａ１０２,,215253101,R04/09/05,R04/09/05,※飲食店営業,一般食堂,そうざい,R11/02/28,,,,
Ａ．Ｂ＆Ｃ　ｌａｂｏ,525-0051,草津市木川町２３３,,215254111,R04/09/21,R04/09/21,※菓子製造業,菓子製造,"パン製造,調理パン",R11/02/28,,,,
栗東市立自然体験学習センター　森の未来館　食堂,520-3002,栗東市観音寺４５９－２０,株式会社しびりこ,215255101,R04/09/14,R04/09/14,※飲食店営業,一般食堂,旅館ホテ,R10/10/31,,,,
ＨＯＴＥＬ　ＧＲＡＮＤ　ＬＥＯＮ守山,524-0102,守山市水保町２８９１－１１,株式会社ユニックス,215256101,R04/09/14,R04/09/14,※飲食店営業,旅館・ホテル,,R11/10/31,,,,
スーパーセンタートライアル草津矢橋店,525-0066,草津市矢橋町２２１,株式会社トライアルカンパニー,215257101,R04/09/08,R04/09/08,※飲食店営業,そうざい屋,弁当屋,R11/02/28,,,,
スーパーセンタートライアル草津矢橋店,525-0066,草津市矢橋町２２１,株式会社トライアルカンパニー,215257103,R04/09/08,R04/09/08,※食肉販売業,獣肉販売,鳥肉販売,R11/02/28,とさつ・解体をしないこと,,,
Ｎｅｐｔｕｎｅ,525-0032,草津市大路一丁目１５－３７　ｓｔｙｌｅビル　２Ｆ,,215258101,R04/09/05,R04/09/05,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
セブン－イレブン　野洲永原店,520-2351,野洲市冨波甲１０２３－２,有限会社ヤマダ,215259101,R04/10/03,R04/10/03,※飲食店営業,そうざい屋,,R12/06/30,,,,
ｊクラフトｃａｆｅ,525-0066,草津市矢橋町１８６８－２　バイクとトライクのお店　ｊクラフト前,,215262101,R04/09/16,R04/09/16,※飲食店営業,,,R10/02/29,臨時的営業（申請のあった営業期間）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
博多一風堂　品川８３０た１９８５,,滋賀県一円（大津市の区域を除く）,株式会社陸,215264101,R04/09/07,R04/09/07,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
フロントライン　岡山８３０す８４５９,,滋賀県一円（大津市の区域を除く）,株式会社Ｆｒｏｎｔ　ｌｉｎｅ,215265101,R04/09/08,R04/09/08,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ラー麺ずんどう屋　草津店,525-0027,草津市野村六丁目３－１７,株式会社ＺＵＮＤ,215268101,R04/09/16,R04/09/16,※飲食店営業,一般食堂,,R12/02/28,,,,
Ｂｅｌｌ（ベル）,520-3015,栗東市安養寺二丁目３－１栗東アーバンライン２階,株式会社ＣＯＲＥ,215269101,R04/09/16,R04/09/16,※飲食店営業,簡易な営業,,R10/10/31,簡易な営業に限る,,,
ＣＡＲＮＩＶＡＬ　ＬＯＣＫ,,滋賀県一円（大津市の区域を除く。）,,215270101,R04/09/14,R04/09/14,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,簡単な調理加工行為に限る,加熱調理食品の提供に限る
日本中央競馬会　栗東トレーニングセンター厩務員独身寮（駿風寮）食堂,520-3004,栗東市上砥山２１００－１１,株式会社ケイ・エス・コミュニティ,215271101,R04/09/26,R04/09/26,※飲食店営業,給食,,R10/10/31,,,,
日本中央競馬会　栗東トレーニングセンター　調整ルーム,520-3005,栗東市御園１０２８,株式会社ケイ・エス・コミュニティ,215272101,R04/09/26,R04/09/26,※飲食店営業,給食,,R10/10/31,,,,
日本中央競馬会　栗東トレーニングセンター　御園寮,520-3005,栗東市御園１０２８,株式会社ケイ・エス・コミュニティ,215273101,R04/09/26,R04/09/26,※飲食店営業,一般食堂,給食,R10/10/31,,,,
ＪＲＡ栗東トレーニング・センター　調教スタンド１Ｆコーヒーコーナー,520-3005,栗東市御園１０２８,株式会社ケイ・エス・コミュニティ,215274101,R04/09/26,R04/09/26,※飲食店営業,簡易な営業,,R10/10/31,簡易な営業に限る,,,
ふぁみろく　京都１３０つ７１５,,滋賀県一円（大津市の区域を除く。）,,215278101,R04/09/16,R04/09/16,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
学校法人聖パウロ学園　学生食堂,525-0055,草津市野路町１７８　聖パウロ学園内,株式会社京彩宴,215279101,R04/09/27,R04/09/27,※飲食店営業,一般食堂,"給食,仕出し屋",R12/02/28,,,,
学校法人聖パウロ学園　学生食堂,525-0055,草津市野路町１７８　聖パウロ学園内,株式会社京彩宴,215280111,R04/09/27,R04/09/27,※菓子製造業,パン製造,調理パン,R12/02/28,,,,
０Ｈ４７０７滋賀,520-3026,栗東市下鈎２７３,グリーンホスピタリティフードマネジメント株式会社,215281101,R04/09/27,R04/09/27,※飲食店営業,給食,,R10/10/31,,,,
餃子屋　金華,,滋賀県一円（大津市の区域を除く）,株式会社ＰＲＥＣＯ,215284101,R04/10/05,R04/10/05,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
京ばあむワゴン　京都８００そ２６１５,,滋賀県一円（大津市の区域を除く）,株式会社美十,215285101,R04/09/27,R04/09/27,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ミニストップ　イオンモール草津店,525-0067,草津市新浜町３００　従業員用休憩室内,,215286101,R04/09/29,R04/09/29,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
炭火焼　色とり鳥,524-0041,守山市勝部一丁目１９－１８　堀井ビル１Ｆ　店舗１０１号,,215287101,R04/10/03,R04/10/03,※飲食店営業,一般食堂,,R10/10/31,,,,
おかずの店　甚平,525-0047,草津市追分一丁目３－３０　フレンドマート志津東草津店,,215288101,R04/09/29,R04/09/29,※飲食店営業,弁当屋,そうざい,R11/02/28,,,,
株式会社ジェリフ　三上工場,520-2362,野洲市三上２２６８,株式会社ジェリフ,215290132,R04/09/29,R04/09/29,※添加物製造業,添加物製剤製造,添加小分,R11/06/30,,,,
ＢＡＲ　ＬＥＶＥＮ,525-0032,草津市大路一丁目２－８－２Ｆ　ドルチェビル,,215291101,R04/10/05,R04/10/05,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
お米のお菓子屋　ｅｇｇ　ｃａｋｅ,525-0067,草津市新浜町４６０－２４,,215292111,R04/10/19,R04/10/19,※菓子製造業,菓子製造,,R11/02/28,,,,
ラウンジ　湖国,525-0032,草津市大路一丁目２－８　ドルチェビル２Ｆ,,215294101,R04/10/11,R04/10/11,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
Ｍ．Ｍ．Ｐ　和泉８００す８４６３,,滋賀県一円（大津市の区域を除く。）,,215296101,R04/10/06,R04/10/06,※飲食店営業,,,R10/02/29,自動車による営業に限る,申請のあった取扱品目に限る,,
菓子道　に志むら,525-0026,草津市渋川一丁目７－３　シャーメゾンサブライム１Ｆ　１０５,,215298111,R04/10/11,R04/10/11,※菓子製造業,菓子製造,,R11/02/28,,,,
キッチンカー　バンビ　京都５８２か７４９５,,滋賀県一円（大津市の区域を除く）,,215300101,R04/10/11,R04/10/11,※飲食店営業,,,R10/02/29,自動車による営業に限る,申請のあった取扱品目に限る,簡易な調理に限る,加熱調理食品の提供に限る
ほりい商店　京都１００そ８５３,,滋賀県一円（大津市の区域を除く。）,,215301101,R04/10/06,R04/10/06,※飲食店営業,,,R10/02/29,自動車による営業に限る,申請のあった取扱品目に限る,,
スナック　きり,525-0050,草津市南草津三丁目１２－３　２階,,215302101,R04/10/27,R04/10/27,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
ＡＭＴＹ　ＣＯＯ,525-0032,草津市大路一丁目８－１５　クロスアベニュー草津Ｂ１０６,株式会社オーエムエム,215303101,R04/10/13,R04/10/13,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
創作和菓子　心葉,525-0048,草津市追分南四丁目２－３,株式会社ＡＯＭ　Ｊａｐａｎ,215304111,R04/10/27,R04/10/27,※菓子製造業,菓子製造,,R11/02/28,,,,
中澤商店,,滋賀県一円（大津市の区域を除く）,,215305101,R04/10/14,R04/10/14,※飲食店営業,,,R10/02/29,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る,巡回移動営業（申請のあった営業場所）に限る
焼肉すだく家族亭　守山店,524-0041,守山市勝部四丁目３－１９,株式会社スプーンテーブル,215306101,R04/11/08,R04/11/08,※飲食店営業,一般食堂,,R11/10/31,,,,
Ｂａｋｅ　Ｓｈｏｐ　Ｃｈａｍｉ,525-0029,草津市下笠町１０６４－２,,215307101,R04/11/10,R04/11/10,※飲食店営業,一般食堂,"そうざい,弁当屋",R12/02/28,,,,
Ｂａｋｅ　Ｓｈｏｐ　Ｃｈａｍｉ,525-0029,草津市下笠町１０６４－２,,215307111,R04/11/01,R04/11/01,※菓子製造業,菓子製造,パン製造,R12/02/28,,,,
らー麺　鉄山靠　南草津店,525-0059,草津市野路五丁目７－１５,,215309101,R04/10/25,R04/10/25,※飲食店営業,一般食堂,,R11/02/28,,,,
肉料理ふくなが,524-0022,守山市守山二丁目３－７　アスティ上芝野１０２,株式会社コンフォートフーズふくなが,215311101,R04/10/28,R04/10/28,※飲食店営業,一般食堂,そうざい,R10/10/31,,,,
ブルーベリーファーム,524-0102,守山市水保町３２３２,,215313101,R04/10/28,R04/10/28,※飲食店営業,一般食堂,,R09/10/31,,,,
天串と海鮮の店　はれ天　なにわ１００せ６４４３,,滋賀県一円（大津市の区域を除く）,株式会社ココカラ,215314101,R04/10/19,R04/10/19,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
セブン－イレブン　琵琶湖大橋東口店,524-0102,守山市水保町１３５７－１,,215315101,R04/10/24,R04/10/24,※飲食店営業,そうざい屋,,R11/10/31,,,,
Ｍｉｔｔｅ,524-0012,守山市播磨田町１１５－５,合同会社Ｍｉｔｔｅ,215318101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,弁当屋,R11/10/31,,,,
肉の丸富　草津駅前店,525-0037,草津市西大路町９－１８　業務スーパー＆酒のケント草津駅前店内,株式会社丸富,215319101,R04/11/10,R04/11/10,※飲食店営業,そうざい屋,,R11/02/28,,,,
肉の丸富　草津駅前店,525-0037,草津市西大路町９－１８　業務スーパー＆酒のケント草津駅前店内,株式会社丸富,215319103,R04/11/09,R04/11/09,※食肉販売業,獣肉販売,鳥肉販売,R11/02/28,とさつ・解体をしないこと,,,
Ｋ’ｓ　Ｋｉｔｃｈｅｎ.ｃｏｍ　大阪８００そ６２５９　　,,滋賀県一円（大津市の区域を除く）,,215320101,R04/10/28,R04/10/28,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ＫＥＭＵＲＩ,525-0032,草津市大路一丁目１４－４　エースビル３Ｆ,株式会社ＥＡＳＵ,215321101,R04/11/07,R04/11/07,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
桜蔵,,滋賀県一円（大津市の区域を除く。）,,215323101,R04/11/01,R04/11/01,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
お弁当屋　めいさん,520-2301,野洲市小南１２９０－１,,215324111,R04/11/28,R04/11/28,※菓子製造業,菓子製造,,R11/06/30,,,,
お弁当屋　めいさん,520-2301,野洲市小南１２９０－１,,215324125,R04/11/28,R04/11/28,※そうざい製造業,弁当製造,そう製造,R11/06/30,,,,
３Ａキッチン　京都８００わ１６８２,,滋賀県一円（大津市の区域を除く）,,215328101,R04/11/07,R04/11/07,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
うしと鶏,520-2362,野洲市市三宅２３５５－１,,215329101,R04/11/21,R04/11/21,※飲食店営業,一般食堂,"仕出し屋,弁当屋,そうざい",R11/06/30,,,,
うしと鶏,520-2362,野洲市市三宅２３５５－１,,215329103,R04/11/21,R04/11/21,※食肉販売業,獣肉販売,鳥肉販売,R11/06/30,とさつ・解体をしないこと,,,
ＰＨＯ　ＶＩＥＴ　３６５,520-2361,野洲市北野一丁目２１－３８,Ｔ＆Ｌ第一合同会社,215330101,R04/11/15,R04/11/15,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/06/30,,,,
ＰＨＯ　ＶＩＥＴ　３６５,520-2361,野洲市北野一丁目２１－３８,Ｔ＆Ｌ第一合同会社,215330125,R06/09/18,R06/09/18,※そうざい製造業,そうざい製造,,R13/06/30,,,,
ｍａｒｕｉｋｅ-ｋｉｔｃｈｅｎ　京都８００そ２９５６,,滋賀県一円（大津市の区域を除く。）,,215335101,R04/11/15,R04/11/15,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
カリカリ博士　モリーブ店,524-0012,守山市播磨田町１８５－１　モリーブ１Ｆ,株式会社イートバンク,215336101,R04/11/22,R04/11/22,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/10/31,,,,
ＢＩＧＵＰ　ＪＡＰＡＮ　和泉８３０た７０９,,滋賀県一円（大津市の区域を除く）,株式会社ＢＩＧＵＰ　ＪＡＰＡＮ,215337101,R04/11/15,R04/11/15,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
菓子工房　コノロメ,520-2304,野洲市永原８１６－４,,215338111,R04/12/09,R04/12/09,※菓子製造業,菓子製造,,R11/06/30,,,,
ｅ－ｇｏｌｆ.ｓｔｕｄｉｏ,525-0066,草津市矢橋町９７－１　ビストロコート　Ｂ号,,215339101,R04/11/24,R04/11/24,※飲食店営業,一般食堂,,R11/02/28,,,,
幻のチューリップ　ｂｙ　世界の山ちゃん　名古屋８００ぬ８８４８,,滋賀県一円（大津市の区域を除く）,株式会社エスワイフード,215340101,R04/11/21,R04/11/21,※飲食店営業,,,R10/02/29,自動車による営業に限る,申請のあった取扱品目に限る,,
花,520-2416,野洲市堤４２５,,215341101,R04/12/01,R04/12/01,※飲食店営業,そうざい屋,,R11/06/30,,,,
エールカステラ,,滋賀県一円（大津市の区域を除く）,株式会社ＮＯＷＬＩＶＥ,215343101,R04/11/30,R04/11/30,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
ｓｏｌｉｓ　ｋｉｔｃｈｅｎ　京都８００そ２９７６,,滋賀県一円（大津市の区域を除く）,株式会社にしがき,215344101,R04/11/28,R04/11/28,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ＡＳＡＨＩ　ＳＷＥＥＴＳ,525-0027,草津市野村八丁目６－４１,アサヒ開発株式会社,215345101,R04/12/02,R04/12/02,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/02/28,,,,
よってや,520-3015,栗東市安養寺八丁目４－１　フォレスタ安養寺１Ｆ－Ａ,,215346101,R04/12/20,R04/12/20,※飲食店営業,一般食堂,,R11/10/31,,,,
１３ｃｈｉｆｆｏｎ,524-0013,守山市下之郷二丁目８－４５,株式会社１３ＭＩＲＡＲＣＨ,215347111,R04/12/13,R04/12/13,※菓子製造業,菓子製造,,R11/10/31,,,,
セブンイレブン　守山播磨田町店,524-0214,守山市立田町４１９６－３,合同会社Ｍ・Ｙ・Ｋ・Ｋ,215348101,R04/12/06,R04/12/06,※飲食店営業,そうざい屋,,R12/10/31,,,,
セブンイレブン　守山立田町店,524-0214,守山市立田町４１９６－３,合同会社Ｍ・Ｙ・Ｋ・Ｋ,215349101,R04/12/06,R04/12/06,※飲食店営業,そうざい屋,,R11/10/31,,,,
ＳＥＲＩＳＵＩ,525-0066,草津市矢橋町１２５２－５,,215350125,R04/12/06,R04/12/06,※そうざい製造業,そうざい製造,,R11/02/28,,,,
焼肉　いちまさ,524-0021,守山市吉身六丁目２－２３　泉海道マンション１０１,株式会社Ｌａｋｅマリン,215352101,R04/12/06,R04/12/06,※飲食店営業,一般食堂,,R11/10/31,,,,
ｂａｋｅｒｙ　ｎｉｃｏ,525-0006,草津市志那中町２２－８,,215353111,R04/12/26,R04/12/26,※菓子製造業,パン製造,調理パン,R11/02/28,,,,
海鮮丼Ｔａｂｅｌ　丼丸　草津笠山店,525-0072,草津市笠山五丁目１－６８,,215358101,R04/12/22,R04/12/22,※飲食店営業,弁当屋,,R11/02/28,,,,
ｅｉｇｈｔ　ｏｎｅ　ｃａｆｅ　愛媛１３０ひ８１,,滋賀県一円（大津市の区域を除く。）,,215359101,R04/12/20,R04/12/20,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
サンレイ・フーズ　滋賀８００す６８３８,,滋賀県一円（大津市の区域を除く）,,215360101,R04/12/21,R04/12/21,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ロックベイ・ストロベリーフィールズ,525-0001,草津市下物町１４３１,合同会社ＭＩＴＡＳＵ,215361101,R04/12/26,R04/12/26,※飲食店営業,一般食堂,,R11/02/28,,,,
Ｔｉｋｋａ　Ｎａａｎ＆Ｃｕｒｒｙ＆Ｋｅｂａｂ　高松８００さ２０７,,滋賀県一円（大津市の区域を除く）,,215362101,R04/12/21,R04/12/21,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
アル・プラザ草津（臨時寿司作業室）,525-0025,草津市西渋川一丁目２３－３０,株式会社平和堂,215363101,R04/12/28,R04/12/28,※飲食店営業,弁当屋,,R11/02/28,,,,
スター栗東辻店　鮮魚部,520-3042,栗東市辻５２７－１,スター株式会社,215364101,R08/03/26,R08/03/26,※飲食店営業,弁当屋,,R14/10/31,,,,
スター栗東辻店　鮮魚部,520-3042,栗東市辻５２７－１,スター株式会社,215364104,R04/12/27,R04/12/27,※魚介類販売業,鮮魚介類の処理,生食魚処,R11/10/31,,,,
夢限屋　Ｃｏｃｏｋｕ,,滋賀県一円（大津市の区域を除く。）,,215365101,R04/12/27,R04/12/27,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
洋食店・ザ　バーグ,525-0048,草津市追分南四丁目５－７,,215366101,R05/01/13,R05/01/13,※飲食店営業,一般食堂,弁当屋,R11/02/28,,,,
スナックＬＩＮＫ,520-3015,栗東市安養寺八丁目７－８,,215368101,R05/02/02,R05/02/02,※飲食店営業,簡易な営業,,R11/10/31,簡易な営業に限る,,,
やきとり大吉　中主店,520-2423,野洲市西河原２３８２,,215369101,R05/01/20,R05/01/20,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/06/30,,,,
フランキー　ノブ,,滋賀県一円（大津市の区域を除く。）,,215370101,R05/01/11,R05/01/11,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
ふじ愛菜キッチン,525-0029,草津市下笠町５５９,株式会社ふじ愛菜農園,215371101,R05/01/16,R05/01/16,※飲食店営業,一般食堂,,R11/02/28,,,,
ふじ愛菜キッチン,525-0029,草津市下笠町５５９,株式会社ふじ愛菜農園,215371119,R05/01/16,R05/01/16,※食用油脂製造業,食用油脂製造,,R11/02/28,,,,
ファミリーマート南草津二丁目店,525-0050,草津市南草津二丁目７－２,,215372101,R05/02/06,R05/02/06,※飲食店営業,そうざい屋,一般食堂,R11/02/28,,,,
ファミリーマート南草津駅西口店,525-0050,草津市南草津二丁目１－１,,215373101,R05/02/06,R05/02/06,※飲食店営業,そうざい屋,一般食堂,R11/02/28,,,,
Ｓｏｌｉｓ　Ｋｉｔｃｈｅｎ　京都８００そ３１２９,525-0034,滋賀県一円（大津市の区域を除く。）,株式会社にしがき,215374101,R05/01/16,R05/01/16,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ほっともっと　守山くすの木通り店　,524-0045,守山市金森町９５２,合同会社ホットイーツ,215375101,R05/01/30,R05/01/30,※飲食店営業,弁当屋,そうざい,R11/10/31,,,,
ｃａｆｅ　４４４４,,滋賀県一円（大津市の区域を除く。）,,215376101,R05/01/20,R05/01/20,※飲食店営業,,,R10/02/29,巡回移動営業に限る,申請のあった営業場所に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る
お米とおかず　暖らん,525-0032,草津市大路一丁目８－１５　クロスアベニューＢ１１１,,215377101,R05/02/13,R05/02/13,※飲食店営業,一般食堂,"そうざい,弁当屋",R11/02/28,,,,
Ｐｏｌｏｌｉ,520-2423,野洲市西河原１０４５,,215378125,R05/02/02,R05/02/02,※そうざい製造業,弁当製造,"そう製造,そう漬物",R11/06/30,,,,
てきと～処　下桜,525-0034,草津市草津四丁目８－１４,,215379101,R05/01/27,R05/01/27,※飲食店営業,一般食堂,,R11/02/28,,,,
それゆけ！　新崎ちゃん,525-0032,草津市大路一丁目２－１２,,215380101,R05/01/30,R05/01/30,※飲食店営業,一般食堂,,R11/02/28,,,,
黒潮市場　和歌山１３０そ９６４０,,滋賀県一円（大津市の区域を除く）,和歌山マリーナシティ株式会社,215381101,R05/01/25,R05/01/25,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
Ｔ’ｓ　Ｋｉｔｃｈｅｎ　滋賀１３０み３２,,滋賀県一円（大津市の区域を除く。）,,215382101,R05/01/25,R05/01/25,※飲食店営業,,,R10/02/29,自動車による営業に限る,申請のあった取扱品目に限る,,
ＫＥＢＡＢ　ＴＩＭＥ　岐阜８００そ２１６,,滋賀県一円（大津市の区域を除く。）,,215383101,R05/01/25,R05/01/25,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ｕｌｕｃｏｐｐｅカラダにいいカロリー,,滋賀県一円（大津市の区域を除く。）,,215384101,R05/01/30,R05/01/30,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
ＮＩＣＯＬＡＯ　Ｃｏｆｆｅｅ　ａｎｄ　Ｓａｎｄｗｉｃｈ,525-0029,草津市下笠町３２０３　草津あおばな館１Ｆ,ＮＩＣＯＬＡＯ株式会社,215385111,R05/01/30,R05/01/30,※菓子製造業,調理パン製造,,R11/02/28,,,,
媽媽菜館六花　京都８００そ３１２８,,滋賀県一円（大津市の区域を除く。）,,215386101,R05/01/30,R05/01/30,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
ｓｏｒａ食品,525-0066,草津市矢橋町１２８３,ｓｏｒａ食品株式会社,215387124,R05/02/01,R05/02/01,※麺類製造業,生めん製造,,R11/02/28,,,,
ｓｏｒａ食品,525-0066,草津市矢橋町１２８３,ｓｏｒａ食品株式会社,215387125,R05/02/01,R05/02/01,※そうざい製造業,そうざい製造,"弁当製造,そう漬物",R11/02/28,,,,
Ｔａｃｏｍａ食品　京都１００そ２１５４,,滋賀県一円（大津市の区域を除く。）,株式会社Ｒａｉｎ　Ｔｈｅｎ　Ｓｕｎｎｙ,215388101,R05/02/01,R05/02/01,※飲食店営業,,,R10/02/29,自動車による営業に限る,,,
Ｔａｃｏｍａ食品,,滋賀県一円（大津市の区域を除く。）,株式会社Ｒａｉｎ　Ｔｈｅｎ　Ｓｕｎｎｙ,215389101,R05/02/01,R05/02/01,※飲食店営業,,,R10/02/29,巡回移動営業（申請のあった営業場所）に限る,申請のあった取扱品目に限る,加熱調理食品の提供に限る,簡単な調理加工行為に限る
焼肉すだく　家族亭　草津浜街道店,525-0066,草津市矢橋町８３５－５,株式会社総合近江牛商社,215390101,R05/02/08,R05/02/08,※飲食店営業,一般食堂,弁当屋,R11/02/28,,,,
焼肉すだく　家族亭　草津浜街道店,525-0066,草津市矢橋町８３５－５,株式会社総合近江牛商社,215390103,R05/02/08,R05/02/08,※食肉販売業,獣肉販売,鳥肉販売,R11/02/28,とさつ・解体をしないこと,,,
Ｌｉｖｅ＆Ｍｕｓｉｃ　ｓｐａｃｅ　奏,520-2361,野洲市北野一丁目１－１８　アルタンスビル５階５－Ｂ,,215391101,R05/02/10,R05/02/10,※飲食店営業,簡易な営業,,R11/06/30,簡易な営業に限る,,,
ファミリーマート草津野路店,525-0058,草津市野路東四丁目１７－９,株式会社Ｓｍｉｌｅ　Ｍａｋｅｒ,215393101,R05/02/17,R05/02/17,※飲食店営業,そうざい屋,,R12/02/28,,,,
儒霖苑,520-3014,栗東市川辺４９０－１８,桐生アドバンステック株式会社,215395101,R05/02/17,R05/02/17,※飲食店営業,一般食堂,,R10/10/31,,,,
儒霖苑,520-3014,栗東市川辺４９０－１８,桐生アドバンステック株式会社,215395111,R05/02/17,R05/02/17,※菓子製造業,菓子製造,,R10/10/31,,,,
儒霖苑,520-3014,栗東市川辺４９０－１８,桐生アドバンステック株式会社,215395125,R05/02/17,R05/02/17,※そうざい製造業,そうざい製造,,R10/10/31,,,,
