許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
117198-01,,西田屋,飲食店営業,2025/07/02,2025/07/08,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117199-01,,大津ゲストハウス　栖碩,飲食店営業,2025/07/02,2025/07/09,2032/02/29,
117200-01,,Ｂａｒ．ＫＡＮＡ,飲食店営業,2025/07/02,2025/07/08,2032/02/29,
117201-01,,Ｉｔｔｏｋａｎ　Ｋｉｔｃｈｅｎ,飲食店営業,2025/07/03,2025/07/09,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。
117203-01,,Ｔａｐｐｙ＆Ｃｕｐｐｙ（滋賀８３０そ・２１６）,飲食店営業,2025/07/08,2025/07/14,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117204-01,株式会社Ｍａｉｓｏｎ　Ｊ,Ｆｉｌｅｒ　ｃａｆｅ　＆　ｇｏｏｄｓ　ｓｔｏｒｅ,飲食店営業,2025/07/08,2025/07/29,2032/02/29,
117205-01,株式会社ココカラ,天串と海鮮の店　はれ天（なにわ１００せ６４４３）,飲食店営業,2025/07/09,2025/07/15,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117206-11,,Ｅｌｉｓｅ　おかし工房　幹,菓子製造業,2025/07/09,2025/08/29,2032/02/29,申請のあった取扱品目の製造に限る。
117207-01,,Ｐｏｍｕ　ｂｏｗｌ,飲食店営業,2025/07/09,2025/07/17,2030/10/31,
117208-01,,ＢＡＲ　ハサミヤ,飲食店営業,2025/07/09,2025/07/22,2032/06/30,
117209-01,株式会社エイトシーズ,メッツァ　ケイッティオ（滋賀４８３か５５４４）,飲食店営業,2025/07/09,2025/07/15,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117211-11,,Ｊｕｕｕｋｅ,菓子製造業,2025/07/10,2025/07/22,2032/02/29,申請のあった取扱品目の製造に限る。
117212-01,,カレー焼き　蔦屋（滋賀８３０す８２２８）,飲食店営業,2025/07/10,2025/07/16,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117213-01,,水色キッチンカー（三重４８０は３７３９）,飲食店営業,2025/07/10,2025/07/16,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117214-01,,ＳＯＬ,飲食店営業,2025/07/11,2025/07/17,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117215-01,,きら・きら,飲食店営業,2025/07/14,2025/07/22,2031/10/31,
117216-01,株式会社８１１,酒場デデデ,飲食店営業,2025/07/15,2025/07/25,2032/06/30,
117218-01,株式会社富士,ＤＲＩＮＫ　ＳＴＡＮＤ　ＳＡＲＡＮＮＮ（京都８００そ５４９２）,飲食店営業,2025/07/15,2025/07/22,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117220-01,株式会社叶匠寿庵,果子工房,飲食店営業,2025/07/17,2025/07/30,2032/06/30,
117223-01,,ＭＥＭＢＥＲ’Ｓ　ＴＥＮＫＯ,飲食店営業,2025/07/18,2025/09/01,2032/06/30,
117224-01,,Ｋｙｏｔｏ　ｋｉｔｃｈｅｎ　ｎａｋａｍａｒｕ（京都８００そ５１５２）,飲食店営業,2025/07/22,2025/07/28,2032/02/29,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117225-01,株式会社一二三,とんかつ喫茶ブタとエスプレッソと（飛鳥８１０そ・３５８）,飲食店営業,2025/07/22,2025/07/28,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約４０Ｌ以上とする。
117226-01,,ワンラブキッチン（姫路８００る・８６３）,飲食店営業,2025/07/22,2025/07/28,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117227-01,宗教法人岩間山正法寺,松風庵,飲食店営業,2025/07/23,2025/08/05,2031/06/30,
117228-01,,インド・ネパール本場料理店　パナス,飲食店営業,2025/07/23,2025/07/31,2031/10/31,
117230-01,,ＳＵＮ　ＧＯ　ＣＡＦＥ（滋賀４８４か・・３５）,飲食店営業,2025/07/24,2025/07/30,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117231-01,,Ｃｏｒｉｓ　ｄｉｎｉｎｇ,飲食店営業,2025/07/24,2025/07/30,2032/02/29,
117232-01,湖南石油株式会社,Ｇａｒａｇｅ　Ｃａｆｅ　ＣＡＲＶＯ（滋賀８３０す２０２４）,飲食店営業,2025/07/29,2025/08/04,2032/02/29,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117234-01,,サンラッキー大津店,飲食店営業,2025/07/30,2025/08/05,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117235-01,日清医療食品株式会社,医療法人滋賀勤労者保健会　介護老人保健施設　日和の里,飲食店営業,2025/08/01,2025/10/01,2032/10/31,
117236-01,株式会社Ｌｉｂｅｒａ,こころキッチン（大阪１００た３１２６）,飲食店営業,2025/08/04,2025/08/08,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117237-01,株式会社Ｌｉｂｅｒａ,こころキッチン（大阪１００た１２９１）,飲食店営業,2025/08/04,2025/08/08,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117243-01,,ファミリーマート大津北大路,飲食店営業,2025/08/07,2025/08/27,2033/06/30,
117244-01,,ｎｅｃｏｉｍｏ（滋賀８３０さ・２９９）,飲食店営業,2025/08/07,2025/08/14,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117245-25,,Ｙｅｌｌｏｗ,そうざい製造業,2025/08/08,2025/08/19,2032/06/30,申請のあった取扱品目の製造に限る。
117246-01,株式会社ＴＡＲＯＣ,Ｓｗｅｅｔｓ　ＨＥＲＯ（堺８３０す９０２０）,飲食店営業,2025/08/08,2025/08/15,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117247-01,,もひち,飲食店営業,2025/08/08,2025/08/27,2032/10/31,
117249-01,株式会社ＣＬフォーラム,マリオンクレープ　フォレオ大津一里山店,飲食店営業,2025/08/19,2025/09/05,2033/06/30,
117250-01,有限会社山栄製作所,Ｓｏｃｏｇｉ　Ｋｉｔｃｈｅｎ（滋賀８３０は１１２９）,飲食店営業,2025/08/19,2025/08/25,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117252-01,,クレープラッキー（大阪４８０も１０３８）,飲食店営業,2025/08/20,2025/08/26,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117253-01,,新次茶館（京都８１５た・・・１）,飲食店営業,2025/08/22,2025/08/28,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117254-01,,Ｙｅｌｌｏｗ　Ｔｅｎｔ,飲食店営業,2025/08/25,2025/08/29,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117255-01,合同会社ハル・プラクティス,ブックカフェ・ハル,飲食店営業,2025/08/25,2025/09/10,2032/02/29,
117256-01,,ｃｏｆｆｅｅ　ｋｕｒｏｔａ,飲食店営業,2025/08/26,2025/09/09,2032/02/29,
117256-11,,ｃｏｆｆｅｅ　ｋｕｒｏｔａ,菓子製造業,2025/08/26,2025/09/09,2032/02/29,申請のあった取扱品目の製造に限る。
117257-01,,Ｒｉｔｓ　ｃａｆｅｔｅｒｉａ　２０２５,飲食店営業,2025/08/27,2025/09/10,2032/02/29,
117258-01,株式会社ａｔ,ａｔ鮪（和泉８００せ・７４５）,飲食店営業,2025/08/27,2025/09/02,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117259-01,株式会社Ｈａｓｕｄａエンタープライズ,Ｊｏｅ’ｓ　Ｃｏｆｆｅｅ（滋賀８００す９０８１）,飲食店営業,2025/08/29,2025/09/04,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117260-01,,Ｃａｆｅ　Ａｎｔｓ,飲食店営業,2025/08/29,2025/09/05,2031/02/28,
117260-11,,Ｃａｆｅ　Ａｎｔｓ,菓子製造業,2025/08/29,2025/09/05,2031/02/28,申請のあった取扱品目の製造に限る。
117261-01,有限会社シンコー工業,ＢＯＳＳ　ＴＨＥ　ＫＩＴＣＨＥＮ（京都８００そ４３３４）,飲食店営業,2025/08/29,2025/09/04,2032/02/29,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117262-01,名阪食品株式会社,ルミエス松が丘有料老人ホーム,飲食店営業,2025/08/29,2025/10/10,2033/06/30,
117263-01,,平尾飯（なにわ８００せ６２９０）,飲食店営業,2025/08/29,2025/09/04,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117264-01,合同会社ロコミイ,きぶん屋（滋賀８００す８２３０）,飲食店営業,2025/09/02,2025/09/08,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117265-01,株式会社リープクリエーション,Ｕｐｉｔ’ｓ　ｋｉｔｃｈｅｎ（滋賀８３０そ・８２６）,飲食店営業,2025/09/03,2025/09/09,2032/02/29,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117266-01,株式会社コンフォートフーズふくなが,Ｆのビーフサンド（滋賀８００す８４１５）,飲食店営業,2025/09/08,2025/09/12,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117269-01,,Ａｔ．１１７．（滋賀８００す８９７９）,飲食店営業,2025/09/10,2025/09/17,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117270-01,,ＥｒｕＭｅａｌ（大阪８００ち・７５０）,飲食店営業,2025/09/11,2025/09/18,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117271-01,,結（滋賀８００す９０３６）,飲食店営業,2025/09/11,2025/09/18,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117272-01,株式会社ＢＲＩＤＧＥＢＩＧ,Ｃｌｕｂ　ＬＵＡＮＡ,飲食店営業,2025/09/11,2025/09/19,2032/06/30,
117273-01,プログレブ株式会社,うなぎ家　みやび,飲食店営業,2025/09/16,2025/10/10,2031/10/31,
117277-02,ＩＪＯＯＺ株式会社,自販　ＩＪＯＯＺ株式会社　浜大津アーカス,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,2025/09/18,2025/10/08,2031/02/28,自動販売機による営業に限る。設置台数は１台に限る。
117278-01,株式会社フォーシーズ,ピザーラ　キッチンカー　１０号車（神戸８３０る８８００）,飲食店営業,2025/09/18,2025/09/25,2032/02/29,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117279-01,,Ｒ　ｋｉｔｃｈｅｎ（滋賀１００せ６８４８）,飲食店営業,2025/09/19,2025/09/26,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117280-01,株式会社ウタシカン,ケンタッキーフライドチキン　フォレオ大津一里山店,飲食店営業,2025/09/19,2025/11/28,2033/06/30,
117281-01,,ＢＡＲ　Ｆｏｒｅｓｔ,飲食店営業,2025/09/22,2025/10/03,2032/06/30,
117282-01,アインズ株式会社,走る　ここ滋賀マルシェ（滋賀８００す９１００）,飲食店営業,2025/09/24,2025/09/30,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117283-01,公益社団法人びわ湖大津観光協会,大津駅観光案内所,飲食店営業,2025/09/24,2025/10/09,2032/02/29,
117284-01,株式会社たけもと建設,ｎｕｔ　ｃａｆｅ＆ｃｒｅｐｅ（神戸８３０み・・７２）,飲食店営業,2025/09/25,2025/10/01,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117285-01,,セブン－イレブン近江舞子店,飲食店営業,2025/09/30,2025/10/07,2032/10/31,
117286-01,株式会社今川組,キューティーバルーン（一宮１００さ６５２０）,飲食店営業,2025/09/30,2025/10/02,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117287-01,合同会社ＫＨＹシステム,ＫＨＹ　１号店（滋賀８３０さ５６１４）,飲食店営業,2025/09/30,2025/10/06,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117288-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　デリカ作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117288-11,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　デリカ作業室,菓子製造業,2025/09/30,2025/10/22,2032/10/31,申請のあった取扱品目の製造に限る。
117289-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　デリカ寿司作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117289-11,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　デリカ寿司作業室,菓子製造業,2025/09/30,2025/10/22,2032/10/31,申請のあった取扱品目の製造に限る。
117290-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　精肉作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117290-03,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　精肉作業室,食肉販売業,2025/09/30,2025/10/22,2032/10/31,とさつ・解体は行わないこと。
117291-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　食肉製品作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117292-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　鮮魚作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117292-04,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　鮮魚作業室,魚介類販売業,2025/09/30,2025/10/22,2032/10/31,
117293-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　鮮魚寿司作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117294-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　デリカベーカリー作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117294-11,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　デリカベーカリー作業室,菓子製造業,2025/09/30,2025/10/22,2032/10/31,申請のあった取扱品目の製造に限る。
