許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
115504-01,株式会社Ｒｅａｃｈ・Ｓｔｙｌｅ,ｔｗｏ　Ａ’ｓ,飲食店営業,2022/01/11,2022/01/19,2028/06/30,簡易な営業に限る
115505-01,合同会社レーヴプランニング,和酒ダイニング　Ｒｅｂｏｒｎ　りぃぼーん,飲食店営業,2022/01/11,2022/01/19,2028/02/29,
115509-01,合同会社ホットイーツ,ほっともっと大津勧学店,飲食店営業,2022/01/14,2022/01/25,2029/02/28,
115511-01,株式会社リボーン,リ！ボン,飲食店営業,2022/01/17,2022/01/25,2028/06/30,
115513-01,,りふれいん,飲食店営業,2022/01/18,2022/01/31,2028/02/29,
115514-01,,セブンイレブン大津本堅田５丁目店,飲食店営業,2022/01/19,2022/02/21,2029/10/31,
115515-01,,Ｔ　ａｄｄ　Ｍ（滋賀８００す７０８７）,飲食店営業,2022/01/19,2022/01/21,2028/02/29,自動車による営業に限る
115518-01,株式会社内田組,Ｄｒａｇｏ　Ｆｅｌｉｃｅ,飲食店営業,2022/10/05,2022/11/01,2029/06/30,
115518-11,株式会社内田組,Ｄｒａｇｏ　Ｆｅｌｉｃｅ,菓子製造業,2022/10/05,2022/11/01,2029/06/30,申請のあった取扱品目の製造に限る
115519-01,,ぶらり食堂　タナゴコロ（京都４８０ひ４１９４）,飲食店営業,2022/01/24,2022/01/26,2028/02/29,自動車による営業に限る
115520-01,,おみやげ・甘味処　うえだ,飲食店営業,2022/01/24,2022/02/04,2028/10/31,
115520-11,,おみやげ・甘味処　うえだ,菓子製造業,2022/01/24,2022/02/04,2028/10/31,申請のあった取扱品目の製造に限る
115520-25,,おみやげ・甘味処　うえだ,そうざい製造業,2022/01/24,2022/02/04,2028/10/31,申請のあった取扱品目の製造に限る
115524-01,,お伊勢たい焼　縁屋,飲食店営業,2022/01/26,2022/01/28,2027/02/28,巡回移動営業に限る申請のあった取扱品目に限る加熱調理食品の提供に限る簡単な調理加工行為に限る申請のあった営業場所に限る
115525-01,つちのつぶ株式会社,つちのつぶ株式会社,飲食店営業,2022/01/26,2022/02/07,2028/06/30,
115525-25,つちのつぶ株式会社,つちのつぶ株式会社,そうざい製造業,2022/01/26,2022/02/07,2028/06/30,申請のあった取扱品目の製造に限る
115528-01,,自然坊たなか,飲食店営業,2022/01/31,2022/02/08,2028/02/29,
115529-01,,しちの,飲食店営業,2022/01/31,2022/02/28,2028/02/29,簡易な営業に限る
115530-01,豊興産株式会社,レークプラザ,飲食店営業,2022/01/31,2022/02/14,2028/02/29,
115531-01,,ＣＡＦＥ＆ＢＡＲ　ＯＢＢＬｉ（京都１３０そ・２１４）,飲食店営業,2022/02/02,2022/02/04,2027/02/28,自動車による営業に限る申請のあった取扱品目に限る
115532-01,,ｓｏｔｏｋｏ,飲食店営業,2022/02/03,2022/02/15,2028/02/29,
115534-01,東住吉マルタマフーズ株式会社,特別養護老人ホーム　あすは,飲食店営業,2022/02/03,2022/02/24,2030/06/30,
115540-01,株式会社ＣＲＥＡＭ　ＨＯＮＰＯ,ＣＲＥＡＭ　ＨＯＮＰＯ,飲食店営業,2022/02/07,2022/03/25,2029/02/28,
115540-11,株式会社ＣＲＥＡＭ　ＨＯＮＰＯ,ＣＲＥＡＭ　ＨＯＮＰＯ,菓子製造業,2022/02/07,2022/03/25,2029/02/28,申請のあった取扱品目の製造に限る
115541-01,,鳥で候,飲食店営業,2022/02/08,2022/02/21,2028/10/31,
115542-01,,さか井,飲食店営業,2022/02/08,2022/02/17,2028/02/29,
115543-01,ＬＩＮＫ株式会社,ソガシッタン（京都１２０ち・・・１）,飲食店営業,2022/02/09,2022/04/08,2029/02/28,自動車による営業に限る
115544-01,合同会社ヤマモト商店,ＷＩＮＤ　ＳＴＲＥＥＴ　ＦＯＯＤＳ（堺１００さ５７６２）,飲食店営業,2022/02/10,2022/02/15,2028/02/29,自動車による営業に限る
115547-01,有限会社サンキ,ミスタードーナツ　フォレオ大津一里山ショップ,飲食店営業,2022/02/10,2022/03/23,2029/06/30,
115547-11,有限会社サンキ,ミスタードーナツ　フォレオ大津一里山ショップ,菓子製造業,2022/02/10,2022/03/23,2029/06/30,申請のあった取扱品目の製造に限る
115548-01,,暖,飲食店営業,2022/02/14,2022/03/08,2028/10/31,
115550-01,,Ｃａｆｅ　花　花,飲食店営業,2022/02/14,2022/03/17,2028/10/31,
115551-11,,やまだし米,菓子製造業,2022/02/14,2022/02/18,2028/06/30,申請のあった取扱品目の製造に限る
115552-01,,司光フーズ,飲食店営業,2022/02/15,2022/02/17,2027/02/28,申請のあった取扱品目に限る加熱調理食品の提供に限る申請のあった営業場所に限る簡単な調理加工行為に限る巡回移動営業に限る
115553-02,株式会社アペックス西日本,バローホールディングス　大津店　軒下（ＣＣＢＪＩ）,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,2022/02/15,2022/02/18,2027/02/28,自動販売機による営業に限る設置台数は１台に限る
115554-01,,旬菜食房　けんずいや,飲食店営業,2022/02/16,2022/03/11,2028/10/31,
115555-01,,エムクアテクノロジー,飲食店営業,2022/02/16,2022/03/11,2028/10/31,
115556-01,,湖南ちゃんぽん（滋賀４８５む１０１０）,飲食店営業,2022/02/16,2022/02/18,2027/02/28,自動車による営業に限る申請のあった取扱品目に限る
115557-01,,厳波楼,飲食店営業,2022/02/17,2022/03/02,2029/02/28,
115558-01,株式会社ホライズン,ローソン大津中央二丁目店,飲食店営業,2022/02/18,2022/02/28,2028/02/29,
115559-01,,ローソン大津坂本七丁目店,飲食店営業,2022/02/18,2022/02/25,2028/10/31,
115561-01,奥村管工株式会社,まごころ弁当　大津店,飲食店営業,2022/02/22,2022/03/18,2029/06/30,
115567-01,,京のおばんざい　たいたん（京都８３０ち・７０８）,飲食店営業,2022/03/02,2022/03/04,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115572-01,株式会社武翔総合管理,陸上自衛隊　大津駐屯地,飲食店営業,2022/03/03,2022/03/18,2029/02/28,
115573-01,シンセンフードテック株式会社,うなぎ料亭山重　瀬田本店,飲食店営業,2022/03/04,2022/03/09,2028/06/30,
115573-25,シンセンフードテック株式会社,うなぎ料亭山重　瀬田本店,そうざい製造業,2022/03/04,2022/03/09,2028/06/30,申請のあった取扱品目の製造に限る
115576-01,,ｃｒａｆｔ　ｂｅｅｒ　ｈｏｕｓｅ　Ｂ．Ｂ,飲食店営業,2022/03/07,2022/03/24,2029/02/28,
115583-11,,ＷＩＳ,菓子製造業,2022/03/08,2022/03/11,2028/10/31,申請のあった取扱品目の製造に限る
115584-01,株式会社ミツムラ工務店,ミツムラ,飲食店営業,2022/03/08,2022/03/14,2028/06/30,
115588-01,株式会社ＮＥＸＸＴ　Ｌｉｖ,ＡＬＯＨＡ　ＫＩＴＣＨＥＮ,飲食店営業,2022/03/10,2022/03/18,2030/02/28,
115589-01,,Ｔｒａｐ　ＣＡＦＥ（滋賀８８０も・・・１）,飲食店営業,2022/03/10,2022/03/14,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115591-01,,ｏｂｅｒｔｏｎ,飲食店営業,2022/03/15,2022/04/13,2028/10/31,
115592-01,株式会社スタンドアウト,Ｄｏｓ,飲食店営業,2022/03/17,2022/04/11,2028/06/30,
115592-11,株式会社スタンドアウト,Ｄｏｓ,菓子製造業,2022/03/17,2022/04/11,2028/06/30,申請のあった取扱品目の製造に限る
115595-03,Ｎダイニング株式会社,Ｎダイニング株式会社,食肉販売業,2022/03/22,2022/04/06,2029/10/31,とさつ・解体は行わないこと
115596-01,株式会社木もれび,びわ湖　松の浦別邸,飲食店営業,2022/03/22,2022/03/30,2028/10/31,
115597-01,,宅食ライフ　大津店,飲食店営業,2022/03/22,2022/03/30,2028/06/30,
115598-01,,ポンテ（滋賀８００す７２９５）,飲食店営業,2022/03/22,2022/03/24,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115599-01,,ＹＡＥＨ（京都４８０ひ２４４１）,飲食店営業,2022/03/22,2022/03/24,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115600-01,株式会社丸富,丸富精肉店　石山店,飲食店営業,2022/03/22,2022/03/29,2028/06/30,
115600-03,株式会社丸富,丸富精肉店　石山店,食肉販売業,2022/03/22,2022/03/29,2028/06/30,とさつ・解体は行わないこと
115600-09,株式会社丸富,丸富精肉店　石山店,食肉処理業,2022/11/11,2022/11/21,2029/06/30,とさつ・解体は行わないこと
115601-01,特定非営利活動法人ＬＳＨ,Ｑｕｏｃａｒｅ,飲食店営業,2022/03/23,2022/03/31,2029/06/30,
115601-30,特定非営利活動法人ＬＳＨ,Ｑｕｏｃａｒｅ,密封包装食品製造業,2024/09/13,2024/09/26,2032/06/30,申請のあった取扱品目の製造に限る
115602-01,,コップンキッチンカー（滋賀４８０て６９９８）,飲食店営業,2022/03/23,2022/03/25,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115603-01,,ＡｉＬｏＢｕｏｎｏ（京都４８０ひ６０６５）,飲食店営業,2022/03/23,2022/03/25,2029/02/28,自動車による営業に限る
115604-01,,桐生の風　Ｆｕｕ,飲食店営業,2022/03/24,2022/04/11,2028/06/30,
115606-01,,テラスキッチン　安寿,飲食店営業,2022/03/25,2022/04/14,2029/10/31,
115606-15,,テラスキッチン　安寿,食肉製品製造業,2022/05/30,2022/06/02,2029/10/31,申請のあった取扱品目の製造に限る
115606-25,,テラスキッチン　安寿,そうざい製造業,2022/03/25,2022/04/14,2029/10/31,申請のあった取扱品目の製造に限る
115608-01,株式会社フードテックジャパン,然の膳　滋賀医科大学医学部附属病院店,飲食店営業,2022/03/28,2022/04/08,2028/06/30,
115610-01,,うつわ　酒　にのご,飲食店営業,2022/03/29,2022/04/12,2028/02/29,
115615-01,,ころちゃん,飲食店営業,2022/03/30,2022/04/07,2029/02/28,
115616-01,,トム＆サム,飲食店営業,2022/03/31,2022/04/07,2029/02/28,簡易な営業に限る
115617-01,,優,飲食店営業,2022/04/01,2022/04/26,2029/02/28,
115622-01,株式会社Ｇｒｅｅｎ　ｅａｒｔｈ,餃子　チョップ,飲食店営業,2022/04/04,2022/04/11,2028/06/30,
115622-27,株式会社Ｇｒｅｅｎ　ｅａｒｔｈ,餃子　チョップ,冷凍食品製造業,2022/04/04,2022/04/11,2028/06/30,申請のあった取扱品目の製造に限る
115623-01,株式会社小樽飯櫃,小樽飯櫃,飲食店営業,2022/04/05,2022/04/07,2028/02/29,簡単な調理加工行為に限る巡回移動営業に限る申請のあった営業場所に限る申請のあった取扱品目に限る加熱調理食品の提供に限る
115624-01,株式会社ｎａｄｅｓｈｉｃｏ,ｍａｌｉｂｕ（滋賀８００す６８７８）,飲食店営業,2022/04/05,2022/04/07,2029/02/28,自動車による営業に限る申請のあった取扱品目に限る
115625-01,,Ｎａｐｐｅｒ（滋賀８００す７０７１）,飲食店営業,2022/04/05,2022/04/07,2028/02/29,自動車による営業に限る
115627-25,株式会社ハートフルギフト,生ぎょうざ　神戸まな家　堅田店,そうざい製造業,2022/04/06,2022/04/14,2028/10/31,申請のあった取扱品目の製造に限る
115628-11,株式会社洗心寮,ツキノベーカリー／芋屋十三,菓子製造業,2022/04/07,2022/04/20,2029/06/30,申請のあった取扱品目の製造に限る
115629-01,株式会社高栄ホーム,Ｂｉｒｄ　Ｃａｆｅ,飲食店営業,2022/04/07,2022/04/19,2029/02/28,
115629-11,株式会社高栄ホーム,Ｂｉｒｄ　Ｃａｆｅ,菓子製造業,2022/04/11,2022/04/19,2029/02/28,申請のあった取扱品目の製造に限る
115631-01,,猫とめがね焙煎所,飲食店営業,2022/04/08,2022/04/14,2029/02/28,
115631-11,,猫とめがね焙煎所,菓子製造業,2022/04/08,2022/04/14,2029/02/28,申請のあった取扱品目の製造に限る
115632-01,,魚丼　うちではま店,飲食店営業,2022/04/08,2022/04/26,2030/02/28,
115633-01,株式会社太閤商事,木曽奈良井宿きむら,飲食店営業,2022/04/08,2022/04/12,2028/02/29,巡回移動営業に限る申請のあった営業場所に限る申請のあった取扱品目に限る加熱調理食品の提供に限る簡単な調理加工行為に限る
115634-01,,Ｃａｆｅ＆Ｃｌｏｔｈｉｎｇ１６１０（滋賀４３０た１６１０）,飲食店営業,2022/04/11,2022/04/13,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る簡易な調理に限る加熱調理食品の提供に限る
115635-01,,Ｇｅｎｉｅ（奈良８００す６８５０）,飲食店営業,2022/04/11,2022/04/13,2029/02/28,自動車による営業に限る
115636-01,,Ｃｏｎｔｉｎｅｎｔａｌ　Ｂｒｅａｋｆａｓｔ＆Ｃｏｆｆｅｅ,飲食店営業,2022/04/11,2022/04/19,2029/02/28,
115636-11,,Ｃｏｎｔｉｎｅｎｔａｌ　Ｂｒｅａｋｆａｓｔ＆Ｃｏｆｆｅｅ,菓子製造業,2022/04/11,2022/04/19,2029/02/28,申請のあった取扱品目の製造に限る
115637-01,株式会社Ｓｍｉｌｅ　Ｍａｋｅｒ,ファミリーマート大津平野店,飲食店営業,2022/04/12,2022/04/21,2028/06/30,
115638-01,株式会社にゃんこのおうち,にゃんこのおうち（滋賀８００の２２２２）,飲食店営業,2022/04/12,2022/04/14,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115639-11,,小枝ベーカリー,菓子製造業,2022/04/12,2022/04/20,2028/10/31,申請のあった取扱品目の製造に限る
115640-01,,へんないも屋（滋賀８００す６７９３）,飲食店営業,2022/04/12,2022/04/14,2029/02/28,自動車による営業に限る申請のあった取扱品目に限る
115642-01,,藤屋,飲食店営業,2022/04/15,2022/04/19,2028/02/29,簡単な調理加工行為に限る巡回移動営業に限る申請のあった営業場所に限る申請のあった取扱品目に限る加熱調理食品の提供に限る
115643-01,,王将クラブ,飲食店営業,2022/04/19,2022/04/28,2029/02/28,
115644-01,,酒場　かなで,飲食店営業,2022/04/19,2022/05/10,2029/02/28,簡易な営業に限る
115645-01,合同会社江州柚子屋,江州柚子屋,飲食店営業,2022/04/21,2022/04/25,2028/02/29,簡単な調理加工行為に限る巡回移動営業に限る申請のあった営業場所に限る申請のあった取扱品目に限る加熱調理食品の提供に限る
115646-01,,ＯＷＬ　ＣＯＦＦＥＥ　ＤＩＳＣＯＶＥＲＹ（大阪４００む６８１８）,飲食店営業,2022/04/21,2022/04/25,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る簡易な調理に限る加熱調理食品の提供に限る
115647-01,株式会社進藤工業,ａｒｋ,飲食店営業,2022/04/21,2022/05/02,2028/06/30,簡易な営業に限る
115653-01,,ドミノ･ピザ大津堅田店,飲食店営業,2022/04/22,2022/04/27,2028/10/31,
115654-01,,ｍｉｃａｓａ（滋賀８８０う・３３３）,飲食店営業,2022/04/22,2022/04/26,2029/02/28,自動車による営業に限る申請のあった取扱品目に限る
115655-01,,ｔｗｏ　Ａ’ｓ,飲食店営業,2022/04/22,2022/05/06,2028/06/30,簡易な営業に限る
115656-01,,Ａｃｅ＆Ｋｉｎｇ（滋賀８３０に・１１３）,飲食店営業,2022/04/25,2022/04/27,2028/02/29,自動車による営業に限る
115657-01,,Ａｌｌｅｓ,飲食店営業,2022/04/25,2022/05/10,2028/06/30,
115659-11,,ｃｏｌｏｒｉｅ,菓子製造業,2022/04/25,2022/05/20,2028/10/31,申請のあった取扱品目の製造に限る
115661-01,,めるんパンナ（京都４８０ひ・５８６）,飲食店営業,2022/04/26,2022/04/28,2028/02/29,自動車による営業に限る
115662-01,,スナックバー　杏,飲食店営業,2022/04/26,2022/05/06,2028/06/30,
115665-01,,ＰＡＲＡＭＩ,飲食店営業,2022/04/28,2022/05/20,2028/10/31,
115665-11,,ＰＡＲＡＭＩ,菓子製造業,2022/04/28,2022/05/20,2028/10/31,申請のあった取扱品目の製造に限る
115667-01,,ｃａｆｅ　ＰＯＣＯ,飲食店営業,2022/05/02,2022/05/23,2028/10/31,
115671-01,株式会社ＡＬＣ,マクドナルドびわ湖阪本店,飲食店営業,2022/05/06,2022/05/16,2028/10/31,
115672-01,株式会社ＡＬＣ,マクドナルド柳が崎店,飲食店営業,2022/05/06,2022/05/16,2029/02/28,
115674-01,株式会社ＡＬＣ,マクドナルドびわ湖大橋店,飲食店営業,2022/05/06,2022/05/16,2029/10/31,
115675-01,,末廣,飲食店営業,2022/05/11,2022/06/06,2028/10/31,
115676-01,ハーベスト株式会社,おおぞらデイサービス,飲食店営業,2022/05/13,2022/06/06,2028/06/30,
115678-01,,ＭＯＵＮＴＡＩＮ,飲食店営業,2022/05/13,2022/06/08,2029/02/28,簡易な営業に限る
115680-01,,らー麺　村咲,飲食店営業,2022/05/16,2022/06/02,2028/06/30,
115681-01,,ふあみろく（京都４８３て・７１５）,飲食店営業,2022/05/17,2022/05/19,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
115683-01,,ｇｅｌａｔｏ ａｎｄ ｃｒｅｐｅ ｃｏｃｏｎｉ,飲食店営業,2022/05/19,2022/05/25,2030/02/28,
115689-01,,カラオケ　湖都里,飲食店営業,2022/05/19,2022/05/25,2029/02/28,
115694-01,有限会社藤野食肉食品センター,（有）藤野食肉食品センター（滋賀８３０さ２４５６）,飲食店営業,2022/05/20,2022/05/24,2029/02/28,自動車による営業に限る
115698-01,,おうちカフェわか,飲食店営業,2022/05/25,2022/06/01,2027/06/30,
115698-11,,おうちカフェわか,菓子製造業,2025/02/17,2025/02/26,2030/06/30,申請のあった取扱品目の製造に限る
115700-01,,ｃｉｏｃｃｏ,飲食店営業,2022/05/27,2022/06/15,2029/02/28,
115701-01,,カフェ・バルーン,飲食店営業,2022/05/31,2022/06/08,2028/06/30,
115702-01,,ＯＴＯＩＲＯ　ＫＩＴＣＨＥＮ（京都４８４ひ３９３９）,飲食店営業,2022/05/30,2022/06/01,2028/02/29,自動車による営業に限る
115703-01,株式会社１１５,しゅん,飲食店営業,2022/05/30,2022/06/08,2028/06/30,
115704-01,株式会社ブロンコビリー,ステーキハウス　ブロンコビリー　大津京店,飲食店営業,2022/05/30,2022/06/06,2030/02/28,
115705-01,,Ｈａｗａｉｉａｎ　Ｔｉｍｅ（なにわ４８０て４０６５）,飲食店営業,2022/05/31,2022/06/02,2028/02/29,自動車による営業に限る
115706-01,有限会社ジャンカラ枚方,ジャンカラ　石山駅直結店,飲食店営業,2022/05/31,2022/07/13,2030/06/30,
115707-01,,からあげ　ゆ～ゆ～,飲食店営業,2022/06/01,2022/06/17,2029/02/28,
115708-01,,喫茶　たんぽぽ,飲食店営業,2022/06/01,2022/06/08,2029/02/28,
115709-01,,ＣａｆｅＪｉｎｔａ,飲食店営業,2022/06/01,2022/06/13,2028/06/30,
115710-01,株式会社ＺＵＮＤ,ラー麺ずんどう屋　大津膳所店,飲食店営業,2022/06/01,2022/06/13,2028/06/30,
115716-01,有限会社松山中央給食,信楽川橋（ＰＣ上部工）工事事務所食堂,飲食店営業,2022/06/06,2022/07/04,2030/06/30,
115720-01,株式会社咲論,カフェ・咲論,飲食店営業,2022/06/10,2022/06/17,2028/06/30,
115721-01,株式会社ネオ・ライズＰＲＯ,京都ぽーく亭（京都８００せ７３５４）,飲食店営業,2022/06/10,2022/06/14,2028/02/29,自動車による営業に限る
115722-01,,Ｎｉｃｏ（滋賀１００せ３８８０）,飲食店営業,2022/06/13,2022/06/15,2029/02/28,自動車による営業に限る申請のあった取扱品目に限る
115724-01,株式会社湯元舘,別邸　あかい　ダイニング琵琶,飲食店営業,2022/06/13,2022/07/11,2029/10/31,
115725-01,株式会社ＮＯＧＩＫＵ,クラムスバナナ（大阪８３０た・８７７）,飲食店営業,2022/06/13,2022/06/15,2029/02/28,自動車による営業に限る
115727-01,アルピナＢＩ株式会社,ＧＲＩＬＬ・ＤＩＮＩＮＧ・ＢＡＲ　ＨＡＬＵＫＡ,飲食店営業,2022/06/14,2022/07/21,2028/10/31,
115728-01,,ＧＥＮ（滋賀８００す７３６１）,飲食店営業,2022/06/15,2022/06/17,2029/02/28,自動車による営業に限る
115729-01,,焼とり　花ひこ　石山店,飲食店営業,2022/06/15,2022/06/23,2028/06/30,
115730-01,,カクトン,飲食店営業,2022/06/16,2022/07/21,2029/06/30,
115731-01,株式会社スリーエム,ＡＦＵＭＩ　ＫＩＴＡＫＯＭＡＴＳＵ,飲食店営業,2022/06/17,2022/07/05,2029/10/31,
115734-01,,ＡＲＩＣＡ　ｆｅ,飲食店営業,2022/06/20,2022/07/06,2028/02/29,臨時的営業に限る申請のあった取扱品目に限る加熱調理食品の提供に限る簡単な調理加工行為に限る
115735-04,滋賀県漁業協同組合連合会,滋賀県南郷水産センター　マスつり場,魚介類販売業,2022/06/20,2022/06/29,2028/06/30,
115736-01,株式会社物語コーポレーション,焼肉きんぐ　大津堅田店,飲食店営業,2022/06/21,2022/07/05,2028/10/31,
115737-01,,ガーリックシュリンプカフェＭＡＩＫＯ,飲食店営業,2022/06/22,2022/06/29,2028/10/31,
115738-01,,マイコビーチパーキング,飲食店営業,2022/06/22,2022/06/29,2028/02/29,簡単な調理加工行為に限る臨時的営業に限る申請のあった取扱品目に限る加熱調理食品の提供に限る
115739-01,,ブロッコリー,飲食店営業,2022/06/24,2022/06/30,2028/02/29,
115740-01,,Ｏｈ！むすび（滋賀８８０え・・８８）,飲食店営業,2022/06/24,2022/06/28,2028/02/29,申請のあった取扱品目に限る自動車による営業に限る
115741-01,,パーンの笛,飲食店営業,2022/06/24,2022/07/11,2029/02/28,
115743-01,,ＢＡＩＨＵ,飲食店営業,2022/06/27,2022/07/05,2029/06/30,
115744-01,,キッチンカー　こまきち（滋賀４８０て７２７９）,飲食店営業,2022/06/27,2022/06/29,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る簡易な調理に限る加熱調理食品の提供に限る
115747-01,,麺屋　やまひで　大津膳所店,飲食店営業,2022/06/29,2022/07/13,2029/02/28,
115749-01,,ｂａｌ ｂａｌ,飲食店営業,2022/07/01,2022/07/06,2028/10/31,
115750-01,有限会社たかぎ水産,魚屋寿司たかぎ瀬田川店,飲食店営業,2022/07/01,2022/07/21,2029/06/30,
115751-01,有限会社たかぎ水産,髙木鮮魚店堅田店,飲食店営業,2022/07/01,2022/07/21,2029/10/31,
115752-01,有限会社ヤマモト,あっぷるこ（滋賀８００す７２３４）,飲食店営業,2022/07/01,2022/07/05,2029/02/28,自動車による営業に限る
115753-01,,ＢｏｏＢｏｏ　Ｋｉｔｃｈｅｎ（京都８３０に１０２０）,飲食店営業,2022/07/05,2022/07/07,2028/02/29,自動車による営業に限る
115754-01,株式会社吉正,満天,飲食店営業,2022/07/05,2022/08/10,2029/06/30,
115754-03,株式会社吉正,満天,食肉販売業,2022/07/05,2022/08/10,2029/06/30,とさつ・解体は行わないこと
115755-01,株式会社ＥＧｐｌａｎ,ライフデリ　大津店,飲食店営業,2022/07/06,2022/07/12,2029/06/30,
115756-01,,モロッコサンドイッチ　ラクダのこぶ,飲食店営業,2022/07/11,2022/07/26,2029/02/28,
115756-11,,モロッコサンドイッチ　ラクダのこぶ,菓子製造業,2022/07/11,2022/07/26,2029/02/28,申請のあった取扱品目の製造に限る
115757-03,株式会社かね吉,かね吉　ショップ,食肉販売業,2022/07/11,2022/07/26,2029/02/28,とさつ・解体は行わないこと
115758-01,株式会社洗心寮,ＩＳＨＩＹＡＭＡＤＥＲＡ　ＣＡＦＥ,飲食店営業,2022/07/11,2022/07/27,2030/06/30,
115759-01,,Ｊａｙ’ｓ　Ｍｏｖｉｎｇ　デリ＆スイーツ　リトル・リトル（滋賀４８３て・８１６）,飲食店営業,2022/07/12,2022/07/14,2029/02/28,自動車による営業に限る申請のあった取扱品目に限る
115760-01,,石臼挽蕎麦　庵（京都８０１も・７７７）,飲食店営業,2022/07/12,2022/07/14,2029/02/28,自動車による営業に限る
115761-01,マリンフード株式会社,セブンズクレープ（滋賀８３０そ３５８８）,飲食店営業,2022/07/13,2022/07/15,2029/02/28,自動車による営業に限る
115762-01,株式会社零,唐橋　龍仙,飲食店営業,2022/07/13,2022/08/25,2029/06/30,
115762-04,株式会社零,唐橋　龍仙,魚介類販売業,2022/07/13,2022/08/25,2029/06/30,
115762-25,株式会社零,唐橋　龍仙,そうざい製造業,2022/07/13,2022/08/25,2029/06/30,申請のあった取扱品目の製造に限る
115765-01,株式会社センターロード,見聞録　浜大津店,飲食店営業,2022/07/14,2022/07/25,2029/02/28,
115766-01,株式会社ゼスト,比叡の杜,飲食店営業,2022/07/14,2022/07/25,2029/10/31,
115766-11,株式会社ゼスト,比叡の杜,菓子製造業,2022/07/14,2022/07/25,2029/10/31,申請のあった取扱品目の製造に限る
115766-25,株式会社ゼスト,比叡の杜,そうざい製造業,2022/07/14,2022/07/25,2029/10/31,申請のあった取扱品目の製造に限る
115766-27,株式会社ゼスト,比叡の杜,冷凍食品製造業,2022/07/14,2022/07/25,2029/10/31,申請のあった取扱品目の製造に限る
115766-29,株式会社ゼスト,比叡の杜,漬物製造業,2022/07/14,2022/07/25,2029/10/31,申請のあった取扱品目の製造に限る
115767-01,,松本食堂,飲食店営業,2022/07/15,2022/07/28,2029/02/28,
115771-01,株式会社丸亀製麺,株式会社丸亀製麺　大津瀬田店,飲食店営業,2022/07/20,2022/08/09,2029/06/30,
115772-01,,ふわこっぺ比叡山坂本店,飲食店営業,2022/07/20,2022/08/08,2028/10/31,
115772-11,,ふわこっぺ比叡山坂本店,菓子製造業,2022/07/20,2022/08/08,2028/10/31,申請のあった取扱品目の製造に限る
115773-01,株式会社エバーグレイズ,エバーグレイズビーチ,飲食店営業,2022/07/21,2022/08/01,2028/10/31,
115774-01,ＤＡＹＳ株式会社,札幌ピリカ,飲食店営業,2022/07/21,2022/07/25,2028/02/29,巡回移動営業に限る申請のあった営業場所に限る申請のあった取扱品目に限る加熱調理食品の提供に限る簡単な調理加工行為に限る
115775-01,株式会社ＧＬＯＢＡＬ　ＬＩＮＫ,ＣＯＣＯ　ｂｅａｎｓ,飲食店営業,2022/07/21,2022/08/03,2028/10/31,
115776-01,株式会社アイランド・ワーク,日向坂４６おひさまｃａｆｅ　滋賀Ｏｈ！Ｍｅ大津テラス店,飲食店営業,2022/07/22,2022/08/01,2029/02/28,
115777-01,株式会社永順,北京料理　好香,飲食店営業,2022/07/25,2022/08/02,2029/02/28,
115778-01,,キッチンカー　いも福亭　１号車（滋賀４００て２３３８）,飲食店営業,2022/07/25,2022/07/27,2028/02/29,自動車による営業に限る
115779-01,有限会社新近江別館,康雲,飲食店営業,2022/07/25,2022/08/03,2029/06/30,
115780-01,,八真道,飲食店営業,2022/07/27,2022/08/03,2029/02/28,
115782-01,,Ｔｏｔａｌ　Ｂｅａｕｔｙ　Ｓａｌｏｎ　Ｐｒｕｍｉｅｒ,飲食店営業,2024/11/01,2025/01/21,2031/02/28,
115782-11,,Ｔｏｔａｌ　Ｂｅａｕｔｙ　Ｓａｌｏｎ　Ｐｒｕｍｉｅｒ,菓子製造業,2024/11/01,2025/01/21,2031/02/28,申請のあった取扱品目の製造に限る
115785-01,,ＢＡＲ　ニコ,飲食店営業,2022/07/29,2022/08/09,2029/06/30,簡易な営業に限る
115786-01,,大杉茶屋,飲食店営業,2022/07/29,2022/08/08,2028/10/31,
115787-01,,おいしい珈琲が飲めるお店（滋賀８００る２００２）,飲食店営業,2022/08/01,2022/08/03,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る簡易な調理に限る加熱調理食品の提供に限る
115788-01,,スワン荘,飲食店営業,2022/08/01,2022/08/05,2028/10/31,
115790-01,,彩～ｃｏｌｏｒ～（京都８３０さ７７１０）,飲食店営業,2022/08/04,2022/08/08,2029/02/28,自動車による営業に限る
115791-01,米田水産株式会社,エフ･マーケット瀬田大江店　鮮魚,飲食店営業,2022/08/05,2022/08/23,2029/06/30,
