カテゴリ,施設名,郵便番号,所在地,住所,番地,法人・団体名,確認・許可年月日,種別,旧種別,登録期限,保健所
美容所,ロレインブロウ近江八幡店,523-0898,近江八幡市鷹飼町南三 丁目,近江八幡市鷹飼町南三 丁目２－１０－１０１,２－１０－１０１,合同会社アルシェスタイル,R06/06/14,,,,東近江
美容所,ｅｎｎｅ,523-0892,近江八幡市出町,近江八幡市出町６２２ ベル・フルール１０２,６２２ ベル・フルール１０２,,R06/07/29,,,,東近江
美容所,ｌｅａ ｈａｉｒ,521-1205,東近江市躰光寺町,東近江市躰光寺町２７－１,２７－１,,R06/07/29,,,,東近江
美容所,ｍｅｌ,523-0896,近江八幡市鷹飼町北三 丁目,近江八幡市鷹飼町北三 丁目７－８ スピカ２１ １０３号室,７－８ スピカ２１ １０３号室,,R06/08/28,,,,東近江
美容所,Ｏｈａｏ,523-0877,近江八幡市池田町五丁 目,近江八幡市池田町五丁 目８,８,,R06/09/09,,,,東近江
美容所,Ｅｙｅｌａｓｈ Ｓａｌｏｎ ｉｍｅ アイ ミー 近江八幡駅前店,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町５６０－１ 洗心ビル５Ｆ,５６０－１ 洗心ビル５Ｆ,,R06/09/09,,,,東近江
美容所,Ｐｒｉｖａｔｅ ｓａｌｏｎ Ｌｅａｆ,523-0031,近江八幡市堀上町,近江八幡市堀上町１３０－１ カンキビル １０３号,１３０－１ カンキビル １０３号,,R06/09/09,,,,東近江
美容所,Ｂａｍｂｉ,523-0031,近江八幡市堀上町,近江八幡市堀上町１８７－５ エスエムビル２階 ２Ａ,１８７－５ エスエムビル２階 ２Ａ,,R06/10/24,,,,東近江
美容所,ＴＡＵＰＥ（トープ）,527-0033,東近江市東沖野三丁目,東近江市東沖野三丁目９－３１,９－３１,,R06/11/13,,,,東近江
美容所,Ｍｏａ ｅｙｅｌａｓｈ／ｅｙｅｂｒｏｗ,523-0816,近江八幡市西庄町,近江八幡市西庄町１２６１－１,１２６１－１,,R06/11/22,,,,東近江
美容所,ｂｅａｕｔｙ ｓａｌｏｎ 「Ａｌａ」,529-1551,東近江市宮川町,東近江市宮川町６５７－１９３,６５７－１９３,,R06/11/20,,,,東近江
美容所,ｋｏｋｏＬｕ,523-0046,近江八幡市上野町,近江八幡市上野町１２４－３,１２４－３,,R07/01/21,,,,東近江
美容所,９０ＤＥＧＲＥＥＳ,527-0039,東近江市青葉町,東近江市青葉町１－４８ グランルミエ１Ｆ,１－４８ グランルミエ１Ｆ,株式会社図師鈴香堂,R07/02/26,,,,東近江
美容所,Ｐｌｕｍｅ,529-1443,東近江市五個荘北町屋 町,東近江市五個荘北町屋 町９５－７,９５－７,,R07/03/06,,,,東近江
美容所,ａｕｌｌａ,523-0894,近江八幡市中村町,近江八幡市中村町１－５ 片岡商会ビル１Ｆ,１－５ 片岡商会ビル１Ｆ,,R07/04/22,,,,東近江
美容所,Ｌｉｎｋ,521-1222,東近江市佐野町,東近江市佐野町５９１－７ ２F,５９１－７ ２F,,R07/04/11,,,,東近江
美容所,Ｋｕｋｕｎａ,529-1604,蒲生郡日野町村井,蒲生郡日野町村井一丁目３５,一丁目３５,,R07/04/08,,,,東近江
美容所,おしゃれハウス未来,529-1656,蒲生郡日野町増田,蒲生郡日野町増田４６２－９０,４６２－９０,,R07/04/08,,,,東近江
美容所,ｌｅｖｉ,527-0035,東近江市ひばり丘町,東近江市ひばり丘町４－２８ ｋｏｋｏｒｏ ＰｌＳＯ１０５,４－２８ ｋｏｋｏｒｏ ＰｌＳＯ１０５,,R07/04/22,,,,東近江
美容所,Ｒｅｅ Ｈａｉｒ,527-0035,東近江市ひばり丘町,東近江市ひばり丘町４－２８－１０４,４－２８－１０４,,R07/06/03,,,,東近江
美容所,ＴＵＫＩＨＩ,523-0896,近江八幡市鷹飼町北三 丁目,近江八幡市鷹飼町北三 丁目２－１０,２－１０,,R07/07/01,,,,東近江
美容所,ｌｅａｐ,523-0893,近江八幡市桜宮町,近江八幡市桜宮町２１３－１１ Ｓ．Ｌ．Ａ．Ｂ ｈｏｕｓ ｅ １Ｆ,２１３－１１ Ｓ．Ｌ．Ａ．Ｂ ｈｏｕｓ ｅ １Ｆ,,R07/09/03,,,,東近江
美容所,ＦＲＥＥＭＡＮ ＨＡＩＲ ＳＨＯＰ,527-0075,東近江市三津屋町,東近江市三津屋町２９－１０,２９－１０,,R07/08/22,,,,東近江
美容所,ｈａｕ′ｏｌｉ,527-0012,東近江市八日市本町,東近江市八日市本町２－１０ ４Ｂ,２－１０ ４Ｂ,,R07/09/29,,,,東近江
美容所,ｐｒｉｖａｔｅ ｓａｌｏｎ ＯＷＬ,523-0032,近江八幡市白鳥町,近江八幡市白鳥町８１－２ ガーデンプレイス白鳥壱番館１ ０２,８１－２ ガーデンプレイス白鳥壱番館１ ０２,,R07/10/08,,,,東近江
美容所,Ｌｉａｎ,521-1201,東近江市新宮町,東近江市新宮町３８９,３８９,,R07/12/19,,,,東近江
